name,street_address,city,country,type_text,reviews_text,comments_text,price_range,postal_code
Kigali Hills Cafe,6 KN Street,Kigali,Rwanda,Cafe,4 of 5 bubbles,Modern cafe with light meals and coffee,$,00000
Nyamirambo Taste House,13 KN Avenue,Kigali,Rwanda,Rwandan,4.5 of 5 bubbles,Local dishes served in a friendly neighbourhood setting,$$ - $$$,00000
Kigali View Bistro,22 KG Road,Kigali,Rwanda,International,4.5 of 5 bubbles,Bistro with hillside views and dinner options,$$ - $$$,00000
Convention Garden Grill,9 Kimihurura Road,Kigali,Rwanda,Grill,4 of 5 bubbles,Tourist friendly grill restaurant near hotel districts,$$ - $$$,00000
Lake Kivu Seafood Table,17 Avenue de la Paix,Kigali,Rwanda,Seafood,4.5 of 5 bubbles,Seafood inspired restaurant with relaxed service,$$ - $$$,00000
Windhoek Brau Kitchen,15 Independence Avenue,Windhoek,Namibia,Grill,4.5 of 5 bubbles,Casual grill restaurant with generous portions,$$ - $$$,9000
Namib Desert Bistro,28 Sam Nujoma Drive,Windhoek,Namibia,Local Cuisine,4 of 5 bubbles,Namibian inspired meals in a central location,$$ - $$$,9000
Eros Garden Cafe,6 Nelson Mandela Avenue,Windhoek,Namibia,Cafe,4 of 5 bubbles,Relaxed cafe serving breakfast lunch and coffee,$,9000
Safari Flame House,40 Hosea Kutako Drive,Windhoek,Namibia,Steakhouse,4.5 of 5 bubbles,Steakhouse suitable for tourists and group dinners,$$ - $$$,9000
Dune View Restaurant,3 Robert Mugabe Avenue,Windhoek,Namibia,International,4 of 5 bubbles,Restaurant offering local and international dishes,$$ - $$$,9000
Victoria Falls River Grill,2 Falls Road,Victoria Falls,Zimbabwe,African Grill,4.5 of 5 bubbles,Grill restaurant close to the falls and hotels,$$ - $$$,00000
Zambezi Sunset Bistro,10 Zambezi Drive,Victoria Falls,Zimbabwe,International,4.5 of 5 bubbles,Tourist friendly bistro with relaxed evening meals,$$ - $$$,00000
Rainforest Cafe,5 Park Road,Victoria Falls,Zimbabwe,Cafe,4 of 5 bubbles,Casual cafe for light meals before or after activities,$,00000
Falls Market Kitchen,18 Livingstone Way,Victoria Falls,Zimbabwe,Local Cuisine,4 of 5 bubbles,Local restaurant serving Zimbabwean style dishes,$$ - $$$,00000
Baobab Seafood Grill,22 Elephant Walk,Victoria Falls,Zimbabwe,Seafood,4.5 of 5 bubbles,Seafood and grill restaurant near tourist shopping areas,$$ - $$$,00000
Lusaka Flame Grill,16 Cairo Road,Lusaka,Zambia,African Grill,4 of 5 bubbles,Central grill restaurant with local and regional dishes,$$ - $$$,10101
Manda Hill Cafe,9 Great East Road,Lusaka,Zambia,Cafe,4 of 5 bubbles,Casual cafe near shopping and hotel areas,$,10101
Zambezi Taste Kitchen,25 Independence Avenue,Lusaka,Zambia,Local Cuisine,4.5 of 5 bubbles,Zambian meals served in a modern restaurant setting,$$ - $$$,10101
Woodlands Bistro,14 Leopards Hill Road,Lusaka,Zambia,International,4 of 5 bubbles,Bistro with dinner options for travellers,$$ - $$$,10101
Copperbelt Grill House,31 Church Road,Lusaka,Zambia,Steakhouse,4.5 of 5 bubbles,Steakhouse with family friendly service,$$ - $$$,10101
Maputo Bay Seafood,12 Marginal Avenue,Maputo,Mozambique,Seafood,4.5 of 5 bubbles,Seafood restaurant with bay views and fresh fish,$$ - $$$,1100
Polana Garden Bistro,8 Julius Nyerere Avenue,Maputo,Mozambique,Portuguese,4.5 of 5 bubbles,Mozambican and Portuguese inspired meals in a stylish setting,$$ - $$$,1100
Baixa Flame Grill,20 Avenida 25 de Setembro,Maputo,Mozambique,Grill,4 of 5 bubbles,Central grill house suitable for tourists and families,$$ - $$$,1100
Costa do Sol Cafe,5 Beach Avenue,Maputo,Mozambique,Cafe,4 of 5 bubbles,Relaxed coastal cafe with light meals and drinks,$,1100
Matola Taste House,30 EN4 Road,Maputo,Mozambique,Local Cuisine,4 of 5 bubbles,Local cuisine restaurant with casual dining,$$ - $$$,1114
